Year, Article Count, Ref Count
1969,1,1
1970,0,0
1971,0,0
1972,0,0
1973,1,1
1974,0,0
1975,0,0
1976,0,0
1977,0,0
1978,0,0
1979,0,0
1980,0,0
1981,0,0
1982,2,2
1983,0,0
1984,0,0
1985,0,0
1986,0,0
1987,0,0
1988,1,1
1989,0,0
1990,0,0
1991,3,3
1992,5,5
1993,1,1
1994,5,5
1995,2,2
1996,3,3
1997,3,3
1998,12,12
1999,7,7
2000,10,10
2001,8,8
2002,13,13
2003,13,13
2004,12,12
2005,11,11
2006,4,4
2007,3,3
2008,6,6
2009,4,4
2010,15,15
2011,16,16
2012,19,19
2013,15,15
2014,14,14
2015,19,19
2016,22,22
2017,16,16
2018,22,22
2019,26,26
2020,21,21
2021,22,22
