Year, Article Count, Ref Count
1919,1,1
1920,1,1
1921,0,0
1922,0,0
1923,0,0
1924,0,0
1925,0,0
1926,0,0
1927,0,0
1928,0,0
1929,0,0
1930,0,0
1931,0,0
1932,0,0
1933,0,0
1934,0,0
1935,0,0
1936,0,0
1937,0,0
1938,0,0
1939,0,0
1940,0,0
1941,0,0
1942,0,0
1943,0,0
1944,0,0
1945,0,0
1946,0,0
1947,0,0
1948,0,0
1949,0,0
1950,1,1
1951,0,0
1952,0,0
1953,0,0
1954,0,0
1955,0,0
1956,0,0
1957,0,0
1958,0,0
1959,0,0
1960,0,0
1961,0,0
1962,0,0
1963,0,0
1964,0,0
1965,0,0
1966,0,0
1967,0,0
1968,2,2
1969,1,1
1970,0,0
1971,0,0
1972,0,0
1973,1,1
1974,3,3
1975,2,2
1976,3,3
1977,2,2
1978,8,8
1979,11,11
1980,6,6
1981,12,12
1982,31,31
1983,20,20
1984,56,56
1985,36,36
1986,43,43
1987,39,39
1988,52,52
1989,58,58
1990,77,77
1991,92,92
1992,81,81
1993,62,62
1994,108,108
1995,111,111
1996,139,139
1997,140,140
1998,135,135
1999,144,144
2000,165,165
2001,202,202
2002,182,182
2003,217,217
2004,201,201
2005,275,275
2006,284,284
2007,299,299
2008,321,321
2009,321,321
2010,304,304
2011,379,379
2012,353,353
2013,331,331
2014,308,308
2015,373,373
2016,421,421
2017,407,407
2018,416,416
2019,430,430
2020,412,412
2021,295,295
