Year, Article Count, Ref Count
1975,1,1
1976,0,0
1977,0,0
1978,1,1
1979,3,3
1980,0,0
1981,1,1
1982,2,2
1983,2,2
1984,5,5
1985,1,1
1986,4,4
1987,3,3
1988,2,2
1989,2,2
1990,2,2
1991,8,8
1992,10,10
1993,5,5
1994,7,7
1995,8,8
1996,10,10
1997,6,6
1998,15,15
1999,13,13
2000,16,16
2001,16,16
2002,11,11
2003,21,21
2004,18,18
2005,26,26
2006,20,20
2007,13,13
2008,26,26
2009,26,26
2010,31,31
2011,42,42
2012,35,35
2013,22,22
2014,28,28
2015,26,26
2016,31,31
2017,27,27
2018,24,24
2019,25,25
2020,31,31
2021,16,16
