Year, Article Count, Ref Count
1974,1,1
1975,0,0
1976,1,1
1977,0,0
1978,1,1
1979,3,3
1980,0,0
1981,1,1
1982,7,7
1983,2,2
1984,5,5
1985,1,1
1986,8,8
1987,10,10
1988,7,7
1989,10,10
1990,10,10
1991,15,15
1992,13,13
1993,11,11
1994,19,19
1995,18,18
1996,14,14
1997,23,23
1998,13,13
1999,13,13
2000,24,24
2001,22,22
2002,21,21
2003,18,18
2004,23,23
2005,27,27
2006,23,23
2007,37,37
2008,16,16
2009,31,31
2010,25,25
2011,59,59
2012,40,40
2013,35,35
2014,28,28
2015,41,41
2016,52,52
2017,44,44
2018,49,49
2019,61,61
2020,48,48
2021,25,25
