Year, Article Count, Ref Count
1968,1,1
1969,1,1
1970,0,0
1971,0,0
1972,0,0
1973,0,0
1974,3,3
1975,1,1
1976,2,2
1977,1,1
1978,2,2
1979,7,7
1980,2,2
1981,5,5
1982,19,19
1983,12,12
1984,37,37
1985,19,19
1986,27,27
1987,16,16
1988,33,33
1989,35,35
1990,33,33
1991,54,54
1992,51,51
1993,31,31
1994,66,66
1995,61,61
1996,76,76
1997,69,69
1998,61,61
1999,74,74
2000,90,90
2001,92,92
2002,97,97
2003,100,100
2004,90,90
2005,145,145
2006,147,147
2007,162,162
2008,167,167
2009,180,180
2010,164,164
2011,213,213
2012,207,207
2013,179,179
2014,179,179
2015,211,211
2016,239,239
2017,238,238
2018,225,225
2019,257,257
2020,252,252
2021,175,175
