Year, Article Count, Ref Count
1973,1,1
1974,0,0
1975,0,0
1976,0,0
1977,0,0
1978,0,0
1979,2,2
1980,1,1
1981,0,0
1982,2,2
1983,2,2
1984,5,5
1985,4,4
1986,6,6
1987,6,6
1988,5,5
1989,10,10
1990,11,11
1991,6,6
1992,7,7
1993,4,4
1994,9,9
1995,6,6
1996,11,11
1997,7,7
1998,6,6
1999,16,16
2000,16,16
2001,17,17
2002,15,15
2003,27,27
2004,14,14
2005,18,18
2006,28,28
2007,30,30
2008,20,20
2009,31,31
2010,36,36
2011,53,53
2012,44,44
2013,47,47
2014,45,45
2015,55,55
2016,48,48
2017,52,52
2018,62,62
2019,58,58
2020,68,68
2021,54,54
